Id,Reputation,DaysExisted,Views,UpVotes,DownVotes,QuestionViews,QuestionVotes,Questions,Answers,AcceptedAnswers,GoldBadges,SilverBadges,BronzeBadges
"1325","309217","3676","77507","2993","2681","180561","1158","24","5823","2697","93","638","896"
"1492","197056","3670","41375","9421","139","8590","88","7","5730","1552","14","195","539"
"1236","166149","3678","88634","2014","918","37348","256","10","2187","1102","13","356","565"
"2451","141979","3623","85680","6426","7873","0","0","0","3061","1285","25","327","1680"
"8563","113455","3226","28487","9839","6245","203361","1840","144","2376","1154","28","271","552"
"26969","112802","2767","15058","2853","318","424","10","1","2591","1124","11","202","362"
"43351","92587","2509","8892","2211","1138","24685","243","28","1759","743","7","190","317"
"50583","89326","2428","36127","2888","20742","16336","262","18","1400","747","26","173","459"
"83398","85495","2068","14249","4658","2008","119562","1418","154","1006","469","21","221","357"
"520","81792","3735","23571","7630","4374","1595","42","5","1536","569","9","154","302"
"26076","81731","2788","21946","11441","9","9263","127","14","1611","553","7","162","343"
"124","71405","3749","28903","9572","4081","382510","836","26","817","390","24","163","274"
"104696","65839","1843","6242","422","33","2381","7","2","2868","926","4","54","144"
"9887","55541","3159","9755","764","1288","490","7","1","1461","456","3","60","182"
"44126","53857","2498","6878","5566","1542","12139","51","8","1075","395","12","105","213"
"19976","51037","2942","24402","1818","84","30211","310","19","699","418","3","106","176"
"35354","49564","2620","12993","1354","219","5470","62","4","767","411","5","97","181"
"74","49500","3750","11005","1392","439","402376","1189","93","448","204","13","121","221"
"40292","47028","2555","3434","1603","64","8685","64","19","1790","450","11","58","121"
"199630","46318","951","4679","543","2052","555","2","3","1249","507","4","71","139"
"179151","45498","1146","7275","4380","3023","1934","6","5","1089","464","14","87","153"
"7924","40247","3265","13830","1010","81","21875","219","13","651","159","0","108","201"
"84967","39104","2047","16885","1717","2924","65032","901","113","426","286","19","90","174"
"199893","37688","948","2635","168","107","1499","2","2","1779","545","5","26","84"
"47472","37391","2446","2853","312","19","17202","123","18","692","220","4","76","124"
"52112","37243","2418","5312","1128","1052","0","0","0","688","205","7","64","115"
"92058","36688","1981","3443","2356","239","68059","826","110","602","187","3","73","177"
"4962","36480","3461","4415","4942","852","121093","120","29","1128","382","10","81","144"
"206691","36194","876","4767","3756","16","3760","151","24","527","293","4","49","103"
"347","34665","3740","6956","960","90","4762","38","5","774","200","2","65","123"
"139781","33691","1510","3168","1555","263","1307","14","7","878","372","3","49","90"
"204834","33496","897","1851","1800","915","344","6","3","790","230","6","54","114"
"66086","33031","2256","7244","3184","4767","0","0","0","915","471","4","59","175"
"36194","32510","2717","5281","1034","2057","2601","24","7","1233","409","15","41","101"
"156895","30659","1357","1765","744","87","102","2","1","674","354","3","44","91"
"5477","30357","3418","5625","2673","257","147267","723","52","287","137","7","81","131"
"2525","29857","3619","4015","219","20","16484","27","4","608","165","5","60","91"
"73490","29755","2181","4110","814","162","606","5","4","922","321","2","28","83"
"392","28778","3739","5487","2000","205","48847","143","16","1477","433","4","51","134"
"86889","28199","2021","4519","405","179","25212","101","38","923","356","8","49","82"
"2190","27242","3636","10554","4717","0","3377","99","2","403","214","2","52","102"
"207910","26679","864","2775","406","83","2667","74","15","613","165","1","37","113"
"80687","26443","2103","2328","232","21","4942","27","3","955","327","1","26","68"
"55662","26176","2397","1485","689","100","0","0","0","833","283","2","45","75"
"114696","25602","1756","8037","1782","10168","0","0","0","1231","413","6","31","68"
"81133","24759","2097","2896","2443","64","8762","55","6","536","245","3","47","86"
"21146","24713","2910","2478","1492","44","451240","1968","401","123","52","13","58","165"
"57780","23608","2360","3528","429","296","8165","47","9","1027","280","1","20","60"
"25301","23462","2808","16192","5212","14312","7669","62","4","495","220","41","55","106"
"102308","23423","1869","4333","391","186","0","0","0","1314","468","3","12","34"
"5788","23386","3398","2514","995","108","190781","561","46","411","208","10","56","98"
"23473","23283","2848","5030","1566","401","21191","91","7","336","134","3","61","111"
"183212","22603","1104","1502","45","35","11130","136","58","862","204","3","26","62"
"31895","22065","2857","3732","812","166","1343","27","2","1014","259","1","20","53"
"329","21644","3741","7220","1679","115","45744","307","16","202","79","0","68","101"
"31790","21517","2660","10459","644","261","29932","215","32","198","142","5","62","90"
"36793","21496","2590","4229","2181","456","472173","2473","763","83","21","7","54","187"
"107153","20840","1821","1606","680","150","0","0","0","380","113","5","43","66"
"6974","20743","3322","2813","498","4","234","1","2","996","197","2","21","46"
"165299","20158","1286","2306","824","19","2697","59","19","470","177","3","35","53"
"1255","20118","3677","4019","2260","39","264800","560","77","283","106","7","49","133"
"5739","20046","3401","3956","1142","839","7602","58","8","640","205","1","36","73"
"7670","19990","3281","6596","396","18","153932","632","62","159","48","6","68","118"
"21441","19729","2902","2785","6473","276","108616","450","114","299","120","5","43","107"
"22927","19389","2862","2531","467","216","14464","-2","1","638","233","3","34","58"
"132371","18723","1584","2819","622","4","102878","466","251","736","156","3","21","59"
"149533","18703","1418","1495","311","7","418","6","3","721","226","3","20","34"
"1241","18440","3678","2391","614","78","554","6","1","183","86","1","51","77"
"37677","18408","2576","2984","1313","40","336100","877","261","332","139","15","60","124"
"45164","18345","2481","1151","193","7","0","0","0","379","164","3","44","66"
